,inferred policy rate,subject,inferred reward rate,inferred dec temp
0,0.17810272,0,0.05184106,5.693857
1,0.76325417,1,0.67706066,4.0268617
2,0.16123007,2,0.06300806,5.6480722
3,0.4149489,3,0.32931146,2.5600967
4,0.078701615,4,0.054349236,2.779508
5,0.65945166,5,0.49245,2.4991076
6,0.31041604,6,0.23946255,4.133114
7,0.51396406,7,0.15416473,5.8341413
8,0.7336195,8,0.7004266,2.2488468
9,0.037362173,9,0.3248393,1.1797974
10,0.07521449,10,0.08008152,3.1034458
11,0.20964584,11,0.65373397,2.1518474
12,0.69398236,12,0.6404258,3.8414497
13,0.08394162,13,0.12538132,3.9691913
14,0.19288053,14,0.06943463,3.599056
15,0.6891296,15,0.43558013,4.663138
16,0.040125992,16,0.083602026,2.18854
17,0.7897668,17,0.4159767,3.1371088
18,0.24714227,18,0.3486356,3.21381
19,0.78342205,19,0.5635031,2.6424303
20,0.36114717,20,0.1176727,3.28005
21,0.41752383,21,0.3927561,2.2283237
22,0.036364857,22,0.20466334,1.9516358
23,0.21726024,23,0.116422944,2.5679243
24,0.2730866,24,0.25332195,2.692312
25,0.27415863,25,0.18701209,3.0896025
26,0.2800788,26,0.1538844,4.828434
27,0.5190222,27,0.38023558,4.073328
28,0.3930688,28,0.40495887,2.9950585
29,0.17343289,29,0.15602049,3.2505593
30,0.38812494,30,0.6247981,1.4654078
31,0.5150738,31,0.6764651,3.9140477
32,0.65600425,32,0.4747668,2.5180435
33,0.036190856,33,0.4214544,2.017759
34,0.33271563,34,0.17981623,3.2712917
35,0.078794666,35,0.131243,1.2830459
36,0.6584159,36,0.6577421,3.096901
37,0.050980475,37,0.032136135,6.1918917
38,0.6832859,38,0.38518047,3.152955
39,0.19742447,39,0.04073715,6.2251797
40,0.68860537,40,0.59381866,2.901439
41,0.044830956,41,0.20840482,3.2217011
42,0.17650256,42,0.24918729,1.9863973
43,0.04265072,43,0.23068024,3.6760213
44,0.47964925,44,0.52524656,3.3546715
45,0.049411803,45,0.7212449,1.0658146
46,0.17860843,46,0.32350597,3.2298784
47,0.56561065,47,0.15902641,2.620594
48,0.24827844,48,0.45984247,4.25326
49,0.13435511,49,0.067672566,2.5054662
50,0.620573,50,0.73119813,1.9073114
51,0.052680027,51,0.04050268,4.026604
52,0.12251941,52,0.18589084,1.9277366
53,0.14395764,53,0.148152,2.0072558
54,0.05936441,54,0.072744064,4.365682
55,0.040461015,55,0.17036764,2.3788693
56,0.55283535,56,0.3524079,4.056463
57,0.028730012,57,0.03928707,6.8784003
58,0.2303947,58,0.23251155,4.85195
59,0.03909331,59,0.026979849,5.570497
60,0.35046905,60,0.44005927,4.23871
61,0.16330087,61,0.3055755,2.9976554
62,0.042758834,62,0.17828049,2.4713993
63,0.060134336,63,0.033404987,2.0038939
64,0.03699528,64,0.15456799,1.7011502
65,0.03182063,65,0.6088535,1.0922812
66,0.584635,66,0.7006898,1.5789351
67,0.1290101,67,0.20856966,1.2962478
68,0.5509543,68,0.3672271,3.1076436
69,0.53891873,69,0.6717385,4.3860917
70,0.7124507,70,0.71674037,2.8034325
71,0.3382736,71,0.6556407,3.8699913
72,0.034753338,72,0.7369795,1.0154356
73,0.5923801,73,0.332865,4.360211
74,0.06659468,74,0.2969902,3.8730538
75,0.031602927,75,0.48842108,1.4122818
76,0.3734719,76,0.28435865,2.993459
77,0.16394651,77,0.27980316,4.1373477
78,0.7145953,78,0.37958878,5.2756004
79,0.53825736,79,0.6662101,1.8995483
80,0.03145675,80,0.41849214,3.2655272
81,0.22833858,81,0.08767374,5.3466067
82,0.06902444,82,0.15483405,3.980321
83,0.24130459,83,0.46588936,2.0834472
84,0.05315723,84,0.06600499,3.2024295
85,0.04357615,85,0.058822434,4.5576377
86,0.15284045,86,0.258165,2.0534875
87,0.08132364,87,0.030466467,6.621883
88,0.71818995,88,0.647303,2.93363
89,0.6085426,89,0.5593365,3.4250298
90,0.058226075,90,0.048960995,4.407473
91,0.030881695,91,0.5472919,0.98635805
92,0.07996968,92,0.17880894,1.9370408
93,0.03160963,93,0.64607537,1.0052485
94,0.3239691,94,0.1699021,3.3390388
95,0.16604711,95,0.07736825,2.1506464
96,0.033190742,96,0.5228925,1.3259478
97,0.3021415,97,0.09883805,5.904995
98,0.4482251,98,0.4183453,4.688535
99,0.13662393,99,0.17987733,3.3853028
100,0.04042064,100,0.056982875,7.3916483
101,0.042277317,101,0.20061044,3.9612687
102,0.117844455,102,0.20107965,1.9755718
103,0.03276704,103,0.4821394,2.3247545
104,0.56252563,104,0.56938,3.704129
105,0.03572329,105,0.2696245,3.0754113
106,0.26061654,106,0.2871727,2.7168536
107,0.35957983,107,0.49294212,3.3296697
108,0.031711284,108,0.22020915,1.1249995
109,0.60686755,109,0.4119208,3.260171
110,0.3345318,110,0.3799287,3.01393
111,0.11661759,111,0.08048625,4.2820563
112,0.19578251,112,0.072476305,3.5653975
113,0.29235923,113,0.24597214,4.8172517
114,0.33375475,114,0.3032176,3.2494946
115,0.50042486,115,0.3231278,4.8759813
116,0.44854563,116,0.50070685,3.4418097
117,0.0968131,117,0.08256926,3.5053945
118,0.5162977,118,0.37075067,2.5295026
119,0.3413534,119,0.2566246,4.1112375
120,0.625086,120,0.49215344,5.0320024
121,0.04853919,121,0.059521116,4.9712853
122,0.033165634,122,0.2289372,2.9448137
123,0.5038494,123,0.32759878,1.7682657
124,0.29882497,124,0.1821539,3.2345586
125,0.21664745,125,0.30764222,2.9628084
126,0.07624071,126,0.11168506,2.6666632
127,0.35709545,127,0.38553777,2.7971628
128,0.5491821,128,0.6688521,1.4041303
129,0.5027522,129,0.45345286,3.2569613
130,0.6463672,130,0.3537685,4.806742
131,0.6521337,131,0.60908,3.3692563
132,0.049748827,132,0.17109072,3.8128088
133,0.038899843,133,0.22611845,3.0703092
134,0.5112705,134,0.2971176,2.861381
135,0.15893328,135,0.07053113,5.766629
136,0.4578781,136,0.4240684,4.177384
137,0.6360978,137,0.57769704,4.1778975
138,0.6971568,138,0.7560618,3.2310517
139,0.032134276,139,0.34601057,2.4316628
140,0.07819142,140,0.071853146,4.088801
141,0.19496517,141,0.37352082,2.607746
142,0.7384745,142,0.7723516,5.16723
143,0.11180498,143,0.2418454,3.7992177
144,0.076522194,144,0.13472937,2.9840715
145,0.58237183,145,0.7351576,4.659411
146,0.030111559,146,0.4303852,3.1785772
147,0.4765976,147,0.71654063,2.9534392
148,0.037164565,148,0.5147494,1.1051042
149,0.055094156,149,0.033910926,2.0195243
150,0.05406269,150,0.094132796,2.3417554
151,0.029947018,151,0.64280814,1.0473022
152,0.5558733,152,0.72366375,3.094726
153,0.2456301,153,0.17544919,3.2500885
154,0.2775773,154,0.62077373,2.804206
155,0.74070513,155,0.6047505,3.4865959
156,0.059715975,156,0.6342566,1.0802256
157,0.67581433,157,0.6375703,5.0111613
158,0.28050655,158,0.31102568,3.7212875
159,0.032174278,159,0.5447361,2.0282853
160,0.6837374,160,0.39940196,4.048019
161,0.22012927,161,0.36489362,1.8026242
162,0.035952438,162,0.3562343,2.3941944
163,0.03465077,163,0.6279443,2.1027212
164,0.5920556,164,0.43722346,2.4044418
165,0.70280236,165,0.5666418,3.1114886
166,0.29539895,166,0.83353466,4.237733
167,0.029150937,167,0.4182074,3.2589867
168,0.09393637,168,0.16027196,1.5789139
169,0.732757,169,0.49869636,3.8613303
170,0.42898512,170,0.614616,2.9949975
171,0.72912747,171,0.7646133,4.001598
172,0.4259283,172,0.41632128,1.8446152
173,0.61643517,173,0.65290266,3.3438017
174,0.43392792,174,0.28892225,2.6134605
175,0.7376443,175,0.7053862,4.249138
176,0.19608429,176,0.19605535,3.4998393
177,0.36689973,177,0.32914326,2.7344403
178,0.04532237,178,0.19184734,3.925682
179,0.04355019,179,0.38311413,1.1897336
180,0.35499975,180,0.200324,4.6951065
181,0.7812239,181,0.58193564,4.2524104
182,0.09742867,182,0.07958904,4.312948
183,0.28630906,183,0.1682571,3.377584
184,0.7419125,184,0.6719881,3.420563
185,0.43603563,185,0.77921045,3.555225
186,0.24855895,186,0.08355699,5.7679563
187,0.5933507,187,0.05169396,3.7005777
